departamento,poblacion,homicidios,tasa_homicidios
Atlantida,478876,264,55.12909396169363
Choluteca,469848,109,23.198992014438712
Colon,340323,164,48.18951407927175
Comayagua,551837,260,47.11536196376829
Copan,406965,178,43.73840502254494
Cortes,1751997,1060,60.50238670500007
El Paraiso,488119,129,26.427981701183523
Francisco Morazan,1650245,670,40.600032116443316
Gracias A Dios,102281,15,14.665480392252714
Intibuca,260344,100,38.4107181267861
Islas De La Bahia,73112,23,31.458584090163036
La Paz,220892,49,22.18278615794144
Lempira,357783,137,38.29136655458756
Ocotepeque,162638,41,25.209360666019013
Olancho,570845,264,46.24722998362078
Santa Barbara,462774,210,45.37852169741602
Valle,187460,39,20.804438280166437
Yoro,622006,339,54.501081983131996
